PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7309285, -117.181195, 54, 150, 'Images/RouteBus_54_150_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:46:40 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7309285, -117.181195, 54, 150, 'Images/RouteBus_54_150_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:46:40 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7309285, -117.181195, 54, 150, 'Images/RouteBus_54_150_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:46:40 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7309285, -117.181195, 54, 150, 'Images/RouteBus_54_150_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:46:40 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7308467, -117.181129, 54, 151, 'Images/RouteBus_54_150_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:47:21 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7308467, -117.181129, 54, 151, 'Images/RouteBus_54_150_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:47:21 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7308467, -117.181129, 54, 151, 'Images/RouteBus_54_150_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:47:21 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7308467, -117.181129, 54, 151, 'Images/RouteBus_54_150_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:47:21 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7308467, -117.181129, 54, 151, 'Images/RouteBus_54_150_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:47:21 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7308467, -117.181129, 54, 151, 'Images/RouteBus_54_150_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:47:21 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.730341, -117.1795515, 54, 36, 'Images/RouteBus_54_040_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:47:51 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.730341, -117.1795515, 54, 36, 'Images/RouteBus_54_040_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:47:51 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.730341, -117.1795515, 54, 36, 'Images/RouteBus_54_040_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:47:51 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.730341, -117.1795515, 54, 36, 'Images/RouteBus_54_040_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:47:51 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.730341, -117.1795515, 54, 36, 'Images/RouteBus_54_040_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:47:51 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7305018, -117.1794107, 54, 31, 'Images/RouteBus_54_030_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:48:19 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7306202, -117.1793292, 54, 27, 'Images/RouteBus_54_030_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:48:24 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7306202, -117.1793292, 54, 27, 'Images/RouteBus_54_030_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:48:24 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7306202, -117.1793292, 54, 27, 'Images/RouteBus_54_030_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:48:24 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7306202, -117.1793292, 54, 27, 'Images/RouteBus_54_030_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:48:24 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7316498, -117.1783838, 54, 35, 'Images/RouteBus_54_040_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:48:48 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7316498, -117.1783838, 54, 35, 'Images/RouteBus_54_040_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:48:48 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7316498, -117.1783838, 54, 35, 'Images/RouteBus_54_040_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:48:48 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7316498, -117.1783838, 54, 35, 'Images/RouteBus_54_040_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:48:48 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7316498, -117.1783838, 54, 35, 'Images/RouteBus_54_040_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:48:48 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7316498, -117.1783838, 54, 35, 'Images/RouteBus_54_040_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:48:48 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7316498, -117.1783838, 54, 35, 'Images/RouteBus_54_040_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:48:48 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.731318, -117.1772725, 54, 114, 'Images/RouteBus_54_110_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:49:17 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.731318, -117.1772725, 54, 114, 'Images/RouteBus_54_110_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:49:17 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.731318, -117.1772725, 54, 114, 'Images/RouteBus_54_110_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:49:17 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.731318, -117.1772725, 54, 114, 'Images/RouteBus_54_110_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:49:17 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7312755, -117.1770885, 54, 101, 'Images/RouteBus_54_100_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:49:21 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.732213, -117.1748117, 54, 58, 'Images/RouteBus_54_060_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:49:46 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.732213, -117.1748117, 54, 58, 'Images/RouteBus_54_060_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:49:46 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.732213, -117.1748117, 54, 58, 'Images/RouteBus_54_060_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:49:46 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.732213, -117.1748117, 54, 58, 'Images/RouteBus_54_060_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:49:46 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.732213, -117.1748117, 54, 58, 'Images/RouteBus_54_060_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:49:46 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.732213, -117.1748117, 54, 58, 'Images/RouteBus_54_060_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:49:46 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.732213, -117.1748117, 54, 58, 'Images/RouteBus_54_060_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:49:46 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7336552, -117.1726423, 54, 124, 'Images/RouteBus_54_120_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:50:19 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7334088, -117.172098, 54, 118, 'Images/RouteBus_54_120_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:50:25 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7334088, -117.172098, 54, 118, 'Images/RouteBus_54_120_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:50:25 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7334088, -117.172098, 54, 118, 'Images/RouteBus_54_120_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:50:25 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7334088, -117.172098, 54, 118, 'Images/RouteBus_54_120_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:50:25 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7334088, -117.172098, 54, 118, 'Images/RouteBus_54_120_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:50:25 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7325902, -117.1703345, 54, 128, 'Images/RouteBus_54_130_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:50:44 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7325902, -117.1703345, 54, 128, 'Images/RouteBus_54_130_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:50:44 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7320915, -117.1689187, 54, 96, 'Images/RouteBus_54_100_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:50:59 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7320915, -117.1689187, 54, 96, 'Images/RouteBus_54_100_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:50:59 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7320915, -117.1689187, 54, 96, 'Images/RouteBus_54_100_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:50:59 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.732062, -117.1686315, 54, 96, 'Images/RouteBus_54_100_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:51:13 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.732062, -117.1686315, 54, 96, 'Images/RouteBus_54_100_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:51:13 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7320657, -117.1683465, 54, 90, 'Images/RouteBus_54_090_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:51:23 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7320657, -117.1683465, 54, 90, 'Images/RouteBus_54_090_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:51:23 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7320657, -117.1683465, 54, 90, 'Images/RouteBus_54_090_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:51:23 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7320657, -117.1683465, 54, 90, 'Images/RouteBus_54_090_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:51:23 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7322742, -117.1665227, 54, 93, 'Images/RouteBus_54_090_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:51:42 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7322742, -117.1665227, 54, 93, 'Images/RouteBus_54_090_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:51:42 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7322742, -117.1665227, 54, 93, 'Images/RouteBus_54_090_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:51:42 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7322742, -117.1665227, 54, 93, 'Images/RouteBus_54_090_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:51:42 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7323592, -117.1658588, 54, 6, 'Images/RouteBus_54_010_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:51:54 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7323592, -117.1658588, 54, 6, 'Images/RouteBus_54_010_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:51:54 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7323592, -117.1658588, 54, 6, 'Images/RouteBus_54_010_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:51:54 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7323592, -117.1658588, 54, 6, 'Images/RouteBus_54_010_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:51:54 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7323592, -117.1658588, 54, 6, 'Images/RouteBus_54_010_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:51:54 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7323592, -117.1658588, 54, 6, 'Images/RouteBus_54_010_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:51:54 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7326737, -117.1659317, 54, 351, 'Images/RouteBus_54_350_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:52:31 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7330387, -117.1663323, 54, 315, 'Images/RouteBus_54_320_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:52:40 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7330387, -117.1663323, 54, 315, 'Images/RouteBus_54_320_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:52:40 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7330387, -117.1663323, 54, 315, 'Images/RouteBus_54_320_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:52:40 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7330387, -117.1663323, 54, 315, 'Images/RouteBus_54_320_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:52:40 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7330387, -117.1663323, 54, 315, 'Images/RouteBus_54_320_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:52:40 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7330387, -117.1663323, 54, 315, 'Images/RouteBus_54_320_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:52:40 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7333953, -117.1651208, 54, 93, 'Images/RouteBus_54_090_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:53:09 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7333953, -117.1651208, 54, 93, 'Images/RouteBus_54_090_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:53:09 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7333953, -117.1651208, 54, 93, 'Images/RouteBus_54_090_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:53:09 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7333953, -117.1651208, 54, 93, 'Images/RouteBus_54_090_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:53:09 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7334845, -117.1621683, 54, 60, 'Images/RouteBus_54_060_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:53:38 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7334845, -117.1621683, 54, 60, 'Images/RouteBus_54_060_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:53:38 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7334845, -117.1621683, 54, 60, 'Images/RouteBus_54_060_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:53:38 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7334845, -117.1621683, 54, 60, 'Images/RouteBus_54_060_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:53:38 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7336077, -117.1619995, 54, 46, 'Images/RouteBus_54_050_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:53:54 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7336077, -117.1619995, 54, 46, 'Images/RouteBus_54_050_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:53:54 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7336077, -117.1619995, 54, 46, 'Images/RouteBus_54_050_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:53:54 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.734176, -117.1610993, 54, 46, 'Images/RouteBus_54_050_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:54:07 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.734176, -117.1610993, 54, 46, 'Images/RouteBus_54_050_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:54:07 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.734176, -117.1610993, 54, 46, 'Images/RouteBus_54_050_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:54:07 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.734176, -117.1610993, 54, 46, 'Images/RouteBus_54_050_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:54:07 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.734176, -117.1610993, 54, 46, 'Images/RouteBus_54_050_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:54:07 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.735852, -117.1589602, 54, 55, 'Images/RouteBus_54_060_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:54:36 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.735852, -117.1589602, 54, 55, 'Images/RouteBus_54_060_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:54:36 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.735852, -117.1589602, 54, 55, 'Images/RouteBus_54_060_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:54:36 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.735852, -117.1589602, 54, 55, 'Images/RouteBus_54_060_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:54:36 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.735852, -117.1589602, 54, 55, 'Images/RouteBus_54_060_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:54:36 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.735852, -117.1589602, 54, 55, 'Images/RouteBus_54_060_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:54:36 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7367178, -117.1566577, 54, 38, 'Images/RouteBus_54_040_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:55:05 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7367178, -117.1566577, 54, 38, 'Images/RouteBus_54_040_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:55:05 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('305', 46.7367178, -117.1566577, 54, 38, 'Images/RouteBus_54_040_009933.png', 'SU E', 0, '<span class=mdGrey>SU E Outbound<br /></span>2:55:05 PM')]);
