PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7333373, -117.1665898, 24, 352, 'Images/RouteBus_24_350_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:54:53 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7333373, -117.1665898, 24, 352, 'Images/RouteBus_24_350_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:54:53 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7333373, -117.1665898, 24, 352, 'Images/RouteBus_24_350_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:54:53 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7333483, -117.164219, 24, 93, 'Images/RouteBus_24_090_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:55:22 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7333483, -117.164219, 24, 93, 'Images/RouteBus_24_090_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:55:22 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7333483, -117.164219, 24, 93, 'Images/RouteBus_24_090_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:55:22 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7333483, -117.164219, 24, 93, 'Images/RouteBus_24_090_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:55:22 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7333483, -117.164219, 24, 93, 'Images/RouteBus_24_090_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:55:22 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7333712, -117.1628207, 24, 76, 'Images/RouteBus_24_080_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:55:51 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.73342, -117.1624273, 24, 78, 'Images/RouteBus_24_080_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:55:57 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.73342, -117.1624273, 24, 78, 'Images/RouteBus_24_080_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:55:57 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.73342, -117.1624273, 24, 78, 'Images/RouteBus_24_080_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:55:57 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.73342, -117.1624273, 24, 78, 'Images/RouteBus_24_080_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:55:57 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.73342, -117.1624273, 24, 78, 'Images/RouteBus_24_080_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:55:57 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.73342, -117.1624273, 24, 78, 'Images/RouteBus_24_080_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:55:57 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7334685, -117.162203, 24, 62, 'Images/RouteBus_24_060_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:56:20 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7334685, -117.162203, 24, 62, 'Images/RouteBus_24_060_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:56:20 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7334685, -117.162203, 24, 62, 'Images/RouteBus_24_060_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:56:20 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7334685, -117.162203, 24, 62, 'Images/RouteBus_24_060_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:56:20 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7336438, -117.1619605, 24, 50, 'Images/RouteBus_24_050_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:56:43 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7337072, -117.1618493, 24, 49, 'Images/RouteBus_24_050_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:56:49 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7337072, -117.1618493, 24, 49, 'Images/RouteBus_24_050_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:56:49 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7337072, -117.1618493, 24, 49, 'Images/RouteBus_24_050_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:56:49 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7337072, -117.1618493, 24, 49, 'Images/RouteBus_24_050_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:56:49 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7337072, -117.1618493, 24, 49, 'Images/RouteBus_24_050_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:56:49 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7348022, -117.1602172, 24, 40, 'Images/RouteBus_24_040_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:57:18 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7348022, -117.1602172, 24, 40, 'Images/RouteBus_24_040_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:57:18 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7348022, -117.1602172, 24, 40, 'Images/RouteBus_24_040_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:57:18 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7348022, -117.1602172, 24, 40, 'Images/RouteBus_24_040_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:57:18 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7355957, -117.1596593, 24, 325, 'Images/RouteBus_24_330_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:57:36 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7358287, -117.1600002, 24, 310, 'Images/RouteBus_24_310_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:57:43 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7359852, -117.1603227, 24, 303, 'Images/RouteBus_24_300_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:57:47 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7359852, -117.1603227, 24, 303, 'Images/RouteBus_24_300_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:57:47 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7359852, -117.1603227, 24, 303, 'Images/RouteBus_24_300_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:57:47 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7359852, -117.1603227, 24, 303, 'Images/RouteBus_24_300_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:57:47 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7359852, -117.1603227, 24, 303, 'Images/RouteBus_24_300_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:57:47 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7359852, -117.1603227, 24, 303, 'Images/RouteBus_24_300_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:57:47 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.736776, -117.1640393, 24, 294, 'Images/RouteBus_24_290_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:58:16 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.736776, -117.1640393, 24, 294, 'Images/RouteBus_24_290_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:58:16 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.736776, -117.1640393, 24, 294, 'Images/RouteBus_24_290_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:58:16 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.736776, -117.1640393, 24, 294, 'Images/RouteBus_24_290_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:58:16 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.736776, -117.1640393, 24, 294, 'Images/RouteBus_24_290_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:58:16 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.736776, -117.1640393, 24, 294, 'Images/RouteBus_24_290_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:58:16 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.738067, -117.1676242, 24, 298, 'Images/RouteBus_24_300_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:58:45 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.738067, -117.1676242, 24, 298, 'Images/RouteBus_24_300_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:58:45 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.738067, -117.1676242, 24, 298, 'Images/RouteBus_24_300_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:58:45 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.738067, -117.1676242, 24, 298, 'Images/RouteBus_24_300_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:58:45 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.738067, -117.1676242, 24, 298, 'Images/RouteBus_24_300_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:58:45 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.738067, -117.1676242, 24, 298, 'Images/RouteBus_24_300_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:58:45 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7394392, -117.171764, 24, 297, 'Images/RouteBus_24_300_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:59:18 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7394392, -117.171764, 24, 297, 'Images/RouteBus_24_300_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:59:18 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7394392, -117.171764, 24, 297, 'Images/RouteBus_24_300_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:59:18 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7394392, -117.171764, 24, 297, 'Images/RouteBus_24_300_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:59:18 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7394392, -117.171764, 24, 297, 'Images/RouteBus_24_300_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:59:18 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7394392, -117.171764, 24, 297, 'Images/RouteBus_24_300_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:59:18 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7400582, -117.173726, 24, 282, 'Images/RouteBus_24_280_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:59:43 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7400582, -117.173726, 24, 282, 'Images/RouteBus_24_280_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:59:43 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7400582, -117.173726, 24, 282, 'Images/RouteBus_24_280_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:59:43 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7400582, -117.173726, 24, 282, 'Images/RouteBus_24_280_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:59:43 AM')]);
PlotBusLocations([new SmiTransitVehicleLocation('306', 46.7400582, -117.173726, 24, 282, 'Images/RouteBus_24_280_009900.png', 'E', 1, '<span class=mdGrey>E Outbound<br /></span>8:59:43 AM')]);
