PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7131072, -117.1713687, 59, 200, 'Images/RouteBus_59_200_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:23:11 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7127597, -117.1716678, 59, 221, 'Images/RouteBus_59_220_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:23:15 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7127597, -117.1716678, 59, 221, 'Images/RouteBus_59_220_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:23:15 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7127597, -117.1716678, 59, 221, 'Images/RouteBus_59_220_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:23:15 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7127597, -117.1716678, 59, 221, 'Images/RouteBus_59_220_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:23:15 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7127597, -117.1716678, 59, 221, 'Images/RouteBus_59_220_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:23:15 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7110498, -117.1746487, 59, 263, 'Images/RouteBus_59_260_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:23:39 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7110498, -117.1746487, 59, 263, 'Images/RouteBus_59_260_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:23:39 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7110498, -117.1746487, 59, 263, 'Images/RouteBus_59_260_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:23:39 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7110498, -117.1746487, 59, 263, 'Images/RouteBus_59_260_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:23:39 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7110498, -117.1746487, 59, 263, 'Images/RouteBus_59_260_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:23:39 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7110498, -117.1746487, 59, 263, 'Images/RouteBus_59_260_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:23:39 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.711905, -117.1772355, 59, 2, 'Images/RouteBus_59_000_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:24:08 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.712345, -117.1771973, 59, 4, 'Images/RouteBus_59_000_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:24:13 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.712345, -117.1771973, 59, 4, 'Images/RouteBus_59_000_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:24:13 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.712345, -117.1771973, 59, 4, 'Images/RouteBus_59_000_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:24:13 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.712345, -117.1771973, 59, 4, 'Images/RouteBus_59_000_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:24:13 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.712345, -117.1771973, 59, 4, 'Images/RouteBus_59_000_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:24:13 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7127802, -117.177175, 59, 2, 'Images/RouteBus_59_000_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:24:37 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('308', 46.7127802, -117.177175, 59, 2, 'Images/RouteBus_59_000_00CC00.png', 'SU SAT South', 4, '<span class=mdGrey>SU SAT South Outbound<br /></span>4:24:37 PM')]);
