PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7145095, -117.1761992, 60, 279, 'Images/RouteBus_60_280_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:13:43 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7145095, -117.1761992, 60, 279, 'Images/RouteBus_60_280_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:13:43 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.714884, -117.1784315, 60, 304, 'Images/RouteBus_60_300_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:14:12 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7149627, -117.1786115, 60, 296, 'Images/RouteBus_60_300_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:14:15 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7149627, -117.1786115, 60, 296, 'Images/RouteBus_60_300_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:14:15 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7149627, -117.1786115, 60, 296, 'Images/RouteBus_60_300_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:14:15 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7149627, -117.1786115, 60, 296, 'Images/RouteBus_60_300_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:14:15 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7149627, -117.1786115, 60, 296, 'Images/RouteBus_60_300_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:14:15 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.714982, -117.1786477, 60, 291, 'Images/RouteBus_60_290_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:14:41 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.714982, -117.1786477, 60, 291, 'Images/RouteBus_60_290_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:14:41 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7150977, -117.1791355, 60, 296, 'Images/RouteBus_60_300_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:14:52 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7150977, -117.1791355, 60, 296, 'Images/RouteBus_60_300_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:14:52 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7150977, -117.1791355, 60, 296, 'Images/RouteBus_60_300_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:14:52 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7150977, -117.1791355, 60, 296, 'Images/RouteBus_60_300_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:14:52 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7154007, -117.1814813, 60, 268, 'Images/RouteBus_60_270_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:15:10 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('312', 46.7154007, -117.1814813, 60, 268, 'Images/RouteBus_60_270_3333FF.png', 'SU South', 2, '<span class=mdGrey>SU South Outbound<br /></span>1:15:10 PM')]);
