PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7320788, -117.181822, 57, 127, 'Images/RouteBus_57_130_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:12:46 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7320788, -117.181822, 57, 127, 'Images/RouteBus_57_130_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:12:46 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7320788, -117.181822, 57, 127, 'Images/RouteBus_57_130_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:12:46 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7320788, -117.181822, 57, 127, 'Images/RouteBus_57_130_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:12:46 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7320788, -117.181822, 57, 127, 'Images/RouteBus_57_130_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:12:46 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7320788, -117.181822, 57, 127, 'Images/RouteBus_57_130_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:12:46 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7320788, -117.181822, 57, 127, 'Images/RouteBus_57_130_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:12:46 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7320788, -117.181822, 57, 127, 'Images/RouteBus_57_130_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:12:46 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7320788, -117.181822, 57, 127, 'Images/RouteBus_57_130_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:12:46 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7320788, -117.181822, 57, 127, 'Images/RouteBus_57_130_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:12:46 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7320735, -117.1818283, 57, 127, 'Images/RouteBus_57_130_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:14:47 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7320735, -117.1818283, 57, 127, 'Images/RouteBus_57_130_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:14:47 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7320735, -117.1818283, 57, 127, 'Images/RouteBus_57_130_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:14:47 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7320735, -117.1818283, 57, 127, 'Images/RouteBus_57_130_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:14:47 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7320735, -117.1818283, 57, 127, 'Images/RouteBus_57_130_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:14:47 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7320133, -117.1816985, 57, 142, 'Images/RouteBus_57_140_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:15:08 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7320133, -117.1816985, 57, 142, 'Images/RouteBus_57_140_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:15:08 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7320133, -117.1816985, 57, 142, 'Images/RouteBus_57_140_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:15:08 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7320133, -117.1816985, 57, 142, 'Images/RouteBus_57_140_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:15:08 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7320133, -117.1816985, 57, 142, 'Images/RouteBus_57_140_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:15:08 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7320133, -117.1816985, 57, 142, 'Images/RouteBus_57_140_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:15:08 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7321178, -117.183126, 57, 264, 'Images/RouteBus_57_260_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:15:40 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7321178, -117.183126, 57, 264, 'Images/RouteBus_57_260_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:15:40 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7321178, -117.183126, 57, 264, 'Images/RouteBus_57_260_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:15:40 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7321178, -117.183126, 57, 264, 'Images/RouteBus_57_260_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:15:40 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7321178, -117.183126, 57, 264, 'Images/RouteBus_57_260_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:15:40 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7321178, -117.183126, 57, 264, 'Images/RouteBus_57_260_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:15:40 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7315575, -117.188334, 57, 281, 'Images/RouteBus_57_280_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:16:06 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7315575, -117.188334, 57, 281, 'Images/RouteBus_57_280_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:16:06 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7315575, -117.188334, 57, 281, 'Images/RouteBus_57_280_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:16:06 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7315575, -117.188334, 57, 281, 'Images/RouteBus_57_280_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:16:06 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.7315575, -117.188334, 57, 281, 'Images/RouteBus_57_280_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:16:06 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.733614, -117.194529, 57, 284, 'Images/RouteBus_57_280_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:16:35 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.733614, -117.194529, 57, 284, 'Images/RouteBus_57_280_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:16:35 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.733614, -117.194529, 57, 284, 'Images/RouteBus_57_280_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:16:35 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.733614, -117.194529, 57, 284, 'Images/RouteBus_57_280_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:16:35 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.733614, -117.194529, 57, 284, 'Images/RouteBus_57_280_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:16:35 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.733781, -117.2018625, 57, 270, 'Images/RouteBus_57_270_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:17:04 PM')]);
PlotBusLocations([new SmiTransitVehicleLocation('300', 46.733781, -117.2018625, 57, 270, 'Images/RouteBus_57_270_FF9933.png', 'SU I', 1, '<span class=mdGrey>SU I Outbound<br /></span>1:17:04 PM')]);
